id,name,vintage,region,colour,sweetness,score
000903ce-fbc5-46ad-8a39-610dd5085bd1,d'évoluer Drôme,1995,Saint-Barthélémy,white,dry,66
002cda16-4164-4053-83a2-b76083c3642d,de concrétiser vos projets Côte-d'Or,2015,Nouvelle-Calédonie,white,semi-sweet,94
0030f1f0-21e0-4487-8c0e-179b50eb6054,dinnover Ardeche,1963,Corse,white,semi-sweet,81
0033d397-7183-4860-8985-1cb16b4e9047,de concrétiser vos projets Var,1996,Île-de-France,red,sweet,62
0047a79f-7f67-4a2d-ae46-426cba037373,d'avancer Sarthe,2016,Île-de-France,white,semi-sweet,77
0058d97d-cc24-4085-bf9e-db70dd05a04e,de concrétiser vos projets Maine-et-Loire,2016,Haute-Normandie,red,semi-sweet,78
006c4bdb-6e49-48f2-8d56-5bb0cbdbdc24,de changer Cher,2007,,,,54
00b84b37-93d5-4d95-9e28-ee063e2176b5,de changer Pyrénées-Orientales,2019,Lorraine,red,sweet,80
00ce5266-e176-459f-9a55-a65c133b13e4,de concrétiser vos projets Cher,2018,Saint-Barthélémy,red,semi-sweet,96
00e4b57e-d83d-4e3f-ad3f-f471baf81f1c,de louer Haut-Rhin,2010,,,,78
00e65370-8f02-436e-9c33-6a58e8e722ea,d'atteindre vos buts Ardennes,2019,Franche-Comté,red,semi-sweet,70
011185db-4c13-409f-a38e-5a8a33b09202,d'évoluer Hautes-Alpes,2015,,,,66
011377af-c0c5-4b0f-afca-9ebf29340464,de concrétiser vos projets Cher,1977,Saint-Barthélémy,red,semi-sweet,94
01197986-9770-4108-89f4-652da7ccea85,2009 d'atteindre vos buts Hautes-Pyrénées,,Corse,red,semi-sweet,70
011dc0a2-680b-4539-ae54-0f06fc27886d,d'évoluer Lozère,2010,Poitou-Charentes,white,sweet,66
01221cab-65e0-4990-a0c7-41a3e3c3a9e4,de louer Loiret,1985,Réunion,white,dry,85
01249526-0c51-4b6b-89f7-3196d046e21f,d'atteindre vos buts Vendée,1974,Basse-Normandie,red,sweet,68
013c0f69-4987-44df-b068-072d9b3567e8,d'avancer Sarthe,2002,Île-de-France,white,semi-sweet,74
014301ce-7747-407d-9d79-9e60c9d1110a,de concrétiser vos projets Ille-et-Vilaine,1960,Alsace,white,sweet,81
01436d53-4531-4eda-b7d8-0ae6a1b71972,d'innover Vendée,1952,Martinique,red,sweet,84
014d6f59-2ebb-4e59-8d3f-d8c0350af5d3,de louer Haute-Marne,2020,Champagne-Ardenne,white,dry,63
014eee76-fae5-4b1a-802a-d4915796f738,de concrétiser vos projets Haute-Marne,2009,Alsace,white,sweet,75
01718e34-ca24-4a24-9565-b99c2bb622b2,de rouler Rhône,2005,Île-de-France,red,dry,84
01dbe045-8a8b-4dfe-a968-27f36022f138,d'innover Guyane,2009,Martinique,red,sweet,73
01e9aa44-2509-46f4-be03-a5f1456c80af,de changer Cher,1965,,,,58
01fbeca3-201e-4ce2-8dcc-af58de325cd5,d'avancer Val-d'Oise,1996,Wallis-et-Futuna,red,dry,74
01fd31bb-061c-43ad-906d-982f6c370356,de louer Loiret,1984,Réunion,white,dry,89
020d2ecb-3dc4-4f39-aadc-2a436decfeeb,de concrétiser vos projets Maine-et-Loire,2019,Haute-Normandie,red,semi-sweet,81
020f35eb-4ca5-4e88-93ae-b54f9f741ddf,de changer Val-de-Marne,1974,Saint-Martin,red,sweet,79
02199b89-72de-4aad-a309-a2db2808f497,de concrétiser vos projets Seine-Saint-Denis,1967,Franche-Comté,red,semi-sweet,80
021fc2b1-8297-4ce3-beba-00cf55fdac38,de concrétiser vos projets Seine-Saint-Denis,2004,Franche-Comté,red,semi-sweet,88
0227544d-2ba8-4c15-87c7-9a1724431fc6,de louer Ariège,1979,Picardie,white,semi-sweet,90
0227f895-3321-4889-be6b-0ef3d23f532a,de changer Isère,1981,Pays-de-Loire,white,semi-sweet,80
0239ebb5-a423-45aa-807b-fb4724a39cd8,d'atteindre vos buts Vendée,1967,Basse-Normandie,red,sweet,65
0269ec24-ebcc-457c-b262-b2fb55b09bfb,de concrétiser vos projets Ille-et-Vilaine,1989,Alsace,white,sweet,80
028917bd-e082-4831-b2cb-e944c7d8b769,de louer Haut-Rhin,2021,,,,70
02995255-7b6e-4265-b5a7-7db73d5e69be,d'évoluer Marne,1984,Auvergne,red,dry,68
029d8600-99ab-471b-bf55-4a80f7887807,d'innover Pyrénées-Orientales,1969,Champagne-Ardenne,red,sweet,60
02a5249b-ed6d-4c81-a864-2ac8780ccd8c,d'avancer Val-d'Oise,2005,Wallis-et-Futuna,red,dry,67
02b6fac5-cfa4-4ab6-be8e-4b53a2e18b09,de rouler Morbihan,1957,Saint-Barthélémy,red,dry,70
02cfb011-75f3-4c65-b525-d8cce4ebcfd5,d'atteindre vos buts Eure-et-Loir,1981,Auvergne,white,dry,91
02d40197-66ea-416e-8268-886211129a29,de louer Pyrénées-Orientales,2002,Polynésie française,white,sweet,67
02e88658-f2b8-45bb-a02f-8d256d03bea0,d'atteindre vos buts Gard,1991,Rhone-Alpes,white,dry,75
02ec651f-2455-436a-9a32-8aafde48d22d,de rouler Rhône,1998,Île-de-France,red,dry,89
02ee5556-4570-499e-ab9d-82aa5e79cdea,dinnover Mayotte,1985,,,,61
02fb53f9-0642-4e31-9438-b4b82060b24e,2010 d'atteindre vos buts Vaucluse,,,,,75
03054628-498e-432d-9a16-d58598a92066,de rouler Charente,2003,Saint-Martin,red,sweet,63
030f2cec-c494-4cca-b92b-a8d5599ac1d5,d'innover Drôme,2004,Limousin,white,sweet,85
0320d5a5-89f7-4f72-b5e5-b32844e426c3,de rouler Cher,1997,Rhone-Alpes,white,semi-sweet,57
0331ea6d-ea0f-42af-9d4d-e3b70faf7b21,d'atteindre vos buts Seine-Saint-Denis,2012,Midi-Pyrénées,white,dry,81
03323646-37dd-4690-ba5a-a1ea9c5cae19,de concrétiser vos projets Gard,1982,Bourgogne,white,semi-sweet,71
033cc51b-fc4e-4d1a-bd8b-20b4b059e3ef,d'atteindre vos buts Allier,1998,Polynésie française,white,semi-sweet,58
0340ab03-a385-45cd-8a96-fc9daef941f6,d'innover Nord,1953,,,,87
034cf947-4fc1-424b-b1c9-ad1000f9899d,de concrétiser vos projets Seine-Saint-Denis,1981,Franche-Comté,red,semi-sweet,82
034dc29f-456d-423b-bfb0-a61337582605,d'évoluer Marne,2019,Auvergne,red,dry,63
0356e7c4-e2f3-4e07-bc50-152b89226198,de concrétiser vos projets Orne,2004,Auvergne,white,dry,79
035e0248-d87d-4e57-91c0-00dcfab512cc,de concrétiser vos projets Seine-Saint-Denis,2007,Franche-Comté,red,semi-sweet,83
03603b13-21f3-4057-952b-1eae1dee3f9f,de louer Ariège,1953,Picardie,white,semi-sweet,85
0376f1ab-1342-4c7e-a4ff-96b14f1d48e8,d'innover Allier,1996,Champagne-Ardenne,red,semi-sweet,70
03786237-2afb-4617-a2b2-207bd0e073b9,d'innover Vendée,1964,Martinique,red,sweet,76
038791a3-5277-4d8a-bc94-33f2db2803a8,d'avancer Paris,1993,Picardie,white,sweet,69
03b0c434-6ec1-42e9-96f3-b08d48ce325a,de changer Alpes-de-Haute-Provence,1977,Nord-Pas-de-Calais,white,sweet,62
03baac28-fece-43cc-b404-e8e10f93366c,de louer Pyrénées-Orientales,1981,Polynésie française,white,sweet,69
03d4f9bf-5f15-4406-8cb3-7c41762a0208,de changer Cher,1971,Réunion,white,dry,61
03ed33e7-b1e3-4f4e-a476-6d975b62ada9,de rouler Rhône,1994,Île-de-France,red,dry,91
03f187eb-09f2-4c0d-ae39-f73767daaa6a,d'innover Allier,1982,Champagne-Ardenne,red,semi-sweet,70
0408f9db-5545-4475-98db-a40facbe46f1,d'évoluer Alpes-Maritimes,1971,Corse,white,semi-sweet,59
04158de0-874e-4f0c-87cb-42892e820796,d'innover Allier,1967,Champagne-Ardenne,red,semi-sweet,70
0423d103-2359-469c-8322-910eedc773d9,de concrétiser vos projets Saône-et-Loire,2019,Saint-Pierre-et-Miquelon,red,dry,83
042740ee-dd31-45a7-9c86-21afa9600054,de changer Cher,2010,,,,56
045df54f-d0a4-4a8b-9fe5-a7f2ea0abcbf,d'avancer Deux-Sèvres,1978,Aquitaine,red,sweet,93
0466839c-aec5-44e2-9451-ecc25f1b1682,de rouler Charente,2008,Saint-Martin,red,sweet,68
04698dd2-c271-435b-b07b-71009ea171f6,d'innover Vendée,2007,Martinique,red,sweet,83
046cd386-f4fd-444f-92ad-fdfa484aa3ec,de concrétiser vos projets Saône-et-Loire,2007,Saint-Pierre-et-Miquelon,red,dry,89
0474b744-8e20-48a3-8771-2d4d24ac05e9,d'innover Nord,1989,,,,89
049b3570-94f9-49c5-9fa3-63b0166b7ac0,d'innover Cantal,2006,Pays-de-Loire,red,dry,83
049bb4ec-459d-4863-8fc3-66b6e75c36de,de louer Ariège,1974,Picardie,white,semi-sweet,94
04b9dd47-74cc-47db-a4b8-9bf52bfd5cb7,1981 d'atteindre vos buts Hautes-Pyrénées,,Corse,red,semi-sweet,61
04de538b-963a-4c25-a197-096dcd704ae8,d'atteindre vos buts Hautes-Pyrénées,2005,Nouvelle-Calédonie,red,semi-sweet,72
04e18fe3-485e-42fb-bb18-17e93ca05efe,de rouler Rhône,1986,Île-de-France,red,dry,88
04f564a0-e2ce-462e-89cb-e3ea4dcba76c,de rouler Cher,1989,Rhone-Alpes,white,semi-sweet,56
04f75c9d-1c0c-45b8-b5ce-1f5ef8501de9,d'innover Lot-et-Garonne,2020,Auvergne,white,sweet,80
050b0d33-11ff-4e55-8547-1184b69b4a0a,d'avancer Paris,2005,Picardie,white,sweet,66
05188ec7-11e5-4a99-addf-ba839bdc1fef,de concrétiser vos projets Var,1997,Île-de-France,red,sweet,63
052d120c-477b-494e-a54c-790ed7b4d854,d'atteindre vos buts Allier,2009,Polynésie française,white,semi-sweet,63
05336c3a-7151-4a65-9130-42a278211365,de rouler Charente,1991,Saint-Martin,red,sweet,69
05567282-5237-4558-b766-aa0e0ef72661,de concrétiser vos projets Vosges,2011,Centre,red,dry,69
057ad5c9-810d-4a5f-ae72-176aafa1f38d,d'évoluer Drôme,2013,Saint-Barthélémy,white,dry,67
057b4443-f77c-4978-ac61-b536c25af71f,d'atteindre vos buts Guadeloupe,1983,Réunion,red,dry,75
0585423f-724c-4379-ac49-f3d99f075b52,de rouler Gironde,2015,Haute-Normandie,red,dry,73
058a53a4-9847-412a-8641-31cc159726ae,d'évoluer Alpes-Maritimes,2010,Corse,white,semi-sweet,64
05a2b212-9446-48e5-aded-dd2738f0cd63,de louer Pyrénées-Orientales,1960,Polynésie française,white,sweet,77
05bb730c-1183-4196-9f18-0dd46501da08,d'innover Ardèche,1966,Corse,white,semi-sweet,86
05cc868e-ecff-4dd0-be20-5f9a1289dc15,de concrétiser vos projets Côte-d'Or,2006,Nouvelle-Calédonie,white,semi-sweet,89
05fc7091-ff33-4900-b1a3-82334ec98756,de changer Alpes-de-Haute-Provence,1964,Nord-Pas-de-Calais,white,sweet,61
06119c3d-5e42-43e0-b500-da853f6135b5,dinnover Mayotte,1999,,,,65
0624c0d8-e60e-4799-bff7-4d0621fae227,de changer Alpes-de-Haute-Provence,1962,Nord-Pas-de-Calais,white,sweet,63
